It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants  adding 2000 jobs. This after...	23656
"groveling" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!	16399
Hillary flunky who lost big. For the 100th time  I never "mocked" a disabled reporter (would never do that) but simply showed him.......	21836
Meryl Streep  one of the most over-rated actresses in Hollywood  doesn't know me but attacked last night at the Golden Globes. She is a.....	38575
Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!	7283
Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!	19441
Before I  or anyone  saw the classified and/or highly confidential hacking intelligence report  it was leaked out to @NBCNews. So serious!	20882
Kellyanne Conway went to @MeetThePress this morning for an interview with @chucktodd. Dishonest media cut out 9 of her 10 minutes. Terrible!	18231
"@KellyannePolls: Welcome to President and Mrs. Bush.   https://t.co/I1K4nj1gVu" Very nice!	5416
I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain  a longtime U.S. ally  is very special!	17641
Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter &amp; star	12289
both countries will  perhaps  work together to solve some of the many great and pressing problems and issues of the WORLD!	16718
have enough problems around the world without yet another one. When I am President  Russia will respect us far more than they do now and....	19039
Having a good relationship with Russia is a good thing  not a bad thing. Only "stupid" people  or fools  would think that it is bad! We.....	30069
Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!	20194
Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!	18657
Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!	16704
Happy Birthday @EricTrump! https://t.co/bJaEY7qFSn	7804
Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!	22769
I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.	26408
Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse  a friend. Will go this AM.	6560
being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares  he supported Kasich &amp; Hillary	8982
Wow  the ratings are in and Arnold Schwarzenegger got "swamped" (or destroyed) by comparison to the ratings machine  DJT. So much for....	9483
Hopefully  all supporters  and those who want to MAKE AMERICA GREAT AGAIN  will go to D.C. on January 20th. It will be a GREAT SHOW!	14625
